esperanto,english,cefr_level,is_suspicious
"Tiu tekniko jam delonge estis uzata por produkti flekseblan metalfadenon, desegnante la materialon tra serio de malkreska grandeco.",This technique has long been used to produce flexible metal wire by drawing the material through a series of dies of decreasing size .,B2,False
"Ekde la mezo de la 20-a jarcento, la kasteloj kutime protektas la militan centron pli ol la urboj aŭ la urboj.","Since the middle of the 20th century , citadels usually protect military center , rather than cities or towns .",B2,False
La orbitoj de centuantoj ŝanĝiĝas de tempo al tempo pro interagado kun la gigantaj planedoj .,The orbits of centaurs change from time to time because of interactions with the giant planets .,B2,False
"Unue, Culerado atentigis, ke la elekto de vojo ene de ĉiu lando estas negrava.","First , Euler pointed out that the choice of route inside each land mass is irrelevant .",B2,False
"Unue, Clero atentigis, ke la elekto de vojo en ĉiu lando ne gravas.","First , Euler pointed out that the choice of route inside each land mass does not matter .",B2,False
"Kuirantaj tuboj estas faritaj elboroj, kiuj povas rezisti al altaj temperaturoj.",Boiling tubes are made from borosilicate glass that can withstand high temperatures .,B2,False
Coherence difinas la konduton de legi kaj skribas al ununura adreso .,Coherence defines the behavior of reads and writes to a single address location .,B2,False
Coherence difinas la konduton de legi kaj skribas al la sama memorloko .,Coherence defines the behavior of reads and writes to the same memory location .,B2,False
Post ricevo de la albumo estis pli ĝuste certa.,Later reception of the album has been more uniformly positive .,B2,False
Germanio estas konstitucia demokratia demokratio.,Germany is a constitutional federal democracy .,B2,False
"Konsisto kun aliaj roloj en modernaj korporacioj , la administrado de librotenistoj havas duoblan raportadon .","Consistent with other roles in modern corporations , management accountants have a dual reporting relationship .",B2,False
La urbo estis fondita en 1888 kaj en kompaniita vilaĝo en 1875 .,The town was founded in 1828 and incorporated as a village in 1875 .,B2,False
En kvar jaroj la infano rajtas kaŭzi malbonan vivon kontraŭ tiaj damaĝoj.,In four U.S. states the child is allowed to bring a wrongful life cause of action for such damages .,B2,False
La blanka vosto - aglo estas tre granda birdo kaj unu el la plej grandaj vivantaj birdoj de akiro.,The white - tailed eagle is a very large bird and one of the largest living birds of prey .,B2,False
"La efikeco de la mezuro estas pridemandata , ĉar la video ne estas havebla nur en YouTube, sed prefere iĝis interreta fenomeno .","The effectiveness of the measure has been questioned , since the video is not available only on YouTube , but rather has become an Internet phenomenon .",B2,False
"La legilo povas esti analogana aŭ cifereca, kaj modernaj instrumentoj, kiuj proponas seriajn komunikajn komunikadojn kun komputilo aŭ reto.","The readout can be analog or digital , and modern instruments offer serial communications with a host computer or network .",B2,False
"Memvenanta tenoj estas relative grandaj, regataj de la plano ĝis la fino de la operacio.","Self resonant loop antennas are relatively large , governed by the intended wavelength of operation .",B2,False
La regiono estis konata de antikvaj tempoj por sia vulkana naturo kaj por la varmaj fontoj.,The region was known from ancient times for its volcanic nature and for the very hot springs .,B2,False
La regiono estis konata de antikvaj tempoj pro sia eksterordinare varma fontoj.,The region was known from ancient times for its exceptionally hot springs .,B2,False
La elekto de tiu ĉi instrukcio aplikas arĥitekturon por multe influi la komplikecon de energiaj disponaĵoj.,The choice of which Instruction Set Architecture to use greatly affects the complexity of implementing high performance devices .,B2,False
"Tamen, la elekto de la instrukcion difini arkitekturon povas forte influi la komplikecon de alta - farado de altaj aparatoj.","However , the choice of instruction set architecture may greatly affect the complexity of implementing high - performance devices .",B2,False
"La kontraŭicia sistemo estas la du - parto de la sistemo, per kiuj krimaj leĝoj funkcias.",The adversarial system is the two - part system under which criminal law courts operate .,B2,False
La korkaĉo estas malstabila metio.,The coracle is an unstable craft .,B2,False
"Spiekloo kovras areon de 18.25 km, la plej mallonga distanco al la ĉefalandejo estas 5.7 km.","Spiekeroog covers an area of 18.25 km , the shortest distance to the mainland is 5.7 km .",B2,False
"Spiekloo kovras areon de 18. 25 km2, la plej mallonga distanco al la tero estas 5.7 km.","Spiekeroog covers an area of 18.25 km2 , the shortest distance to the land is 5.7 km .",B2,False
La unuaj du teamoj de ĉiu el la ok grupoj kvalifikos sin por la frapa stadio.,The top two placed teams from each of the eight groups will qualify for the knockout stage .,B2,False
La unuaj du teamoj de ĉiu el la ok kvalifikitaj grupoj por la frapa scenejo.,The top two placed teams from each of the eight groups qualified for the knockout stage .,B2,False
"En la pasinteco, negrafite sintezaj plantoj estis pripensataj ricevi manĝaĵon el organika materio kiel amuza .","In the past , non-photosynthetic plants were thought to get food by breaking down organic matter like fungi do .",B2,False
"La teamo bazitas el du aŭ pli da teamoj de aristotoj, kun la nombro deistontoj de ĉiu teamo kutime estas egalaj .","Team based battle royals consist of two or more teams of wrestlers , with the number of wrestlers on each team usually being equal .",B2,False
"Teamoj de reĝaj bataloj konsistas el indikitaj teamoj de aristoistoj, kutime du al teamo .","Team variations of battle royals consist of designated tag teams of wrestlers , usually two to a team .",B2,False
"Per homo kiel grapuloj ofte sentas timon dum fulmotondro, eĉ se estas malalta ŝanco, ke ili afliktos dum la ŝtormo.",A person with astraphobia often feels fear during a thunderstorm even if there is a low chance that they will be hurt during the storm .,B2,False
"Dumdaŭ mortis en la 18a de januaro 2014 en Londono post Carsana aresto, estis en aero antaŭhieraŭ.","Dumor died on 18 January 2014 in his London home after a cardiac arrest , having been on air the day before .",B2,False
Labori kun pli aŭ malpli grandaj ŝtonoj kuniĝas sen peno al grupoj nomiĝas ruino.,Work executed with more or less large stones put together without any attempt at courses is called rubble walling .,B2,False
Dupunktoj formas 75 - 80 individuoj vivas kune en kompleksaj sistemoj de Roianoj en afrika dezerto.,Colonies averaging 75 - 80 individuals live together in complex systems of burrows in arid African deserts .,B2,False
"Oni kredas, ke la deserto estas kreita honore al la dancisto aŭ post unu el ŝiaj ekskursoj al Aŭstralio kaj Nov-Zelando en la 1920-aj jaroj.",The dessert is believed to have been created in honor of the dancer either during or after one of her tours to Australia and New Zealand in the 1920s .,B2,False
"Oni kredas, ke la deserto estis farita por celebri unu el la dancistoj al Aŭstralio kaj Nov-Zelando en la 1920 jaroj.",People believe the dessert was made to celebrate one of the dancer 's tours to Australia and New Zealand in the 1920s .,B2,False
La kanto disvastiĝis kun gravega aplaŭdo.,The song received widespread critical acclaim .,B2,False
La kanto ricevis ampleksan kritikan rekonon .,The song received extensive critical recognition .,B2,False
La ordo inkluzivas 85 - 90 geneera el sep familioj de arboj kaj shufos .,The order includes 85 - 90 genera from seven families of trees and shrubs .,B2,False
"Liaj gesonoj ŝanĝiĝas, kiuj modifis sian interagon per DNA kaj nuklea proteinoj .",Histones undergo changes which alter their interaction with DNA and nuclear proteins .,B2,False
"Ekde la 17a de marto 1982 , li estis en komato sekvanta genuon.","Since 17 March 1982 , he has been in a coma following a knee operation .",B2,False
"Ekde la 17a de marto 1982 , li estis en komato sekvanta operacio.","Since 17 March 1982 , he has been in a coma following an operation .",B2,False
Post la pafadoj la observado de la kartaro estis fermita.,"After the shootings , the observation deck was closed .",B2,False
"Post la pafadoj, la turema kartaro estis fermita.","Following the shootings , the tower observation deck was closed .",B2,False
"Tandem priskribas skemon, kiu helpas determini individuajn trajtojn .",Tandem repeat describes a pattern that helps determine an individual 's inherited traits .,B2,False
La plejparto de la konstruaĵoj estis konstruita per ŝtonaĵoj de grandaj dimensioj.,Most dolmen constructions were built using stone slabs of big dimensions .,B2,False
"La plej grandaj bestoj manĝas unue , dum la pli malgrandaj sekvas hielon.","The largest animals eat first , while the smaller ones follow a hierarchy .",B2,False
Alternigante aktualajn kreilojn estis konataj en simplaj formoj de la malkovro de la magneta parto de elektraj kurentoj en la 1830-aj .,Alternating current generating systems were known in simple forms from the discovery of the magnetic induction of electric current in the 1830s .,B2,False
Alternado de aktualaj kreosistemoj estis konataj de la malkovro de la magneta parto de elektra kurento.,Alternating current generating systems were known from the discovery of the magnetic induction of electric current .,B2,False
Liaj prelegoj estis legendoj kaj ofte antaŭe daŭris tri aŭ kvar horojn .,His lectures were legendary and frequently used to last for three or four hours .,B2,False
"En la 1930-a sezono, la ligo ŝanĝis la komparajn regulojn , efike elfaviĝas .","In the 1930 season , the league changed the passing rules , effectively eliminating offsides .",B2,False
"En la epoko inter la organizantoj kaj la kresko de la moderna turisma industrio, la areo estis plejparte okupata en la lignaj industrio kaj fiŝkaptado.",In the era between convict settlement and the rise of the modern tourist industry the area was mostly engaged in the timber industry and fishing .,B2,False
La aneksika operacioj povas esti reprezentata laŭ multaj manieroj.,The symmetry operations can be represented in many ways .,B2,False
Simetriaj operacioj povas esti skribitaj en multaj manieroj.,Symmetry operations can be written in many ways .,B2,False
CHAPLIN aperis en larĝa vario de preskaŭ konataj hispanaj kaj francaj filmoj.,Chaplin has appeared in a wide variety of critically recognized Spanish and French films .,B2,False
Kelkfoje ĝi estas vidita en pli malnovaj faroj kaj kontraktoj kiel pli tradicia maniero uzi terminojn de referenco .,It is sometimes seen in older deeds and contracts as a more traditional way of using terms of reference .,B2,False
Ankaŭ kelkfoje viditaj en pli malnovaj faroj kaj kontraktoj kiel pli tradicia maniero de inkorpigo de referenco .,Also sometimes seen in older deeds and contracts as a more traditional way of incorporating terms of reference .,B2,False
"Trankvileco temas pri la procedo iĝi malvarma, aŭ pli malalta en temperaturo.","Cooling refers to the process of becoming cold , or lowering in temperature .",B2,False
"Kutime viroj kaj knaboj kantis trasatle en eklezioj, kaj sanktaj virinoj kaj kantis gassxidojn en siaj ĉiutagaj pregxoj.","Usually men and boys sang Gregorian chant in churches , and holy women and men sang Gregorian chants in their daily prayers .",B2,False
"La tritoj estas vulkanaj ŝtonoj, kun nur maldikaj tavoloj de grundo kaj mozoj.","The islets are volcanic rocks , with only a thin layer of soil and moss .",B2,False
"Kiel Ullung - do, la tritoj estas vulkanaj ŝtonoj, kun nur maldikaj tavoloj de grundo kaj mozoj.","Like Ulleung - do , the islets are volcanic rocks , with only a thin layer of soil and moss .",B2,False
"La paroko estas kampara rolulo, la nordorientorientiĝas kaj la sudorientiĝo de bieno .","The parish is rural in character , the northeast being moorland and the southwest lower lying farmland .",B2,False
Kelkaj taktikoj estas dungitoj por atingi la celon de vetkuro.,A number of tactics are employed to reach the objective of a race .,B2,False
"Dum la venontaj kelkaj tagoj, psikologia kolizo.","Over the next few days , a psychological war ensues .",B2,False
"Dum la venontaj kelkaj tagoj, psikologia milito okazas.","Over the next few days , a psychological war takes place .",B2,False
"Kvar tagoj ekde la influo, manĝaĵo havas mallongan provizon tra la tuta planedo .","Four days since impact , food is in short supply across the entire planet .",B2,False
La ĉefa ekonomia ago de la malliberejo estas terkulturo.,The main economic activity of the municipality is agriculture .,B2,False
La ĉefa ekonomia ago de la malliberejo estas bieno.,The main economic activity of the municipality is farming .,B2,False
"Vojoj, kiuj eniras la urbon, estas mallarĝaj kaj havas malgrandajn babiladojn por devigi ŝoforojn por malrapidigi kaj esti registritaj de CCTTV-aparatoj.",Roads entering the City are narrowed and have small chicanes to force drivers to slow down and be recorded by CCTV cameras .,B2,False
"Vojoj, kiuj eniras la urbon, estis mallarĝaj kaj malgrandaj babiladoj, estis kreitaj por devigi la ŝoforojn malrapidigi kaj esti registritaj de CCTTTV- fotiloj.",Roads entering the City were narrowed and small chicanes were created to force drivers to slow down and be recorded by CCTV cameras .,B2,False
"Paperoj povas fleksi sin en krudaĵon, sed kelkfoje efikajn serurojn por plukuti aparaton.",Paper clips can be bent into a crude but sometimes effective lock picking device .,B2,False
Fumo kaj salila gluaĵo estas tre populara en Svedio.,Smoked and salted cod roe paste is very popular in Sweden .,B2,False
Fumo kaj salila gluaĵo ĝenerale servita kiel sandviĉo estas populara en Svedio.,"Smoked and salted cod roe paste , commonly served as sandwich topping is popular in Sweden .",B2,False
"Kun pli da transfinigoj de transfinigoj estis haveblaj kun duonduktaj teknikoj kiuj progresas, multviceraj CPU- CPU-procesoroj estis realigitaj en la sama edifilicio.","With further transistor size reductions made available with semiconductor technology advances , multi-core CPUs have appeared where multiple CPUs are implemented on the same silicon chip .",B2,False
"Kiel bela pulvoro, porner oni povas resti senmova en la aero dum iom da periodo, kaj oni konsideras, ke sanuloj kompareblas kun polvo.","As a fine powder , toner can remain suspended in the air for some period , and is considered to have health effects comparable to inert dust .",B2,False
"Ĉarner estas bela polvo , ĝi povas resti en la aero dum longa tempo, kaj oni konsideras, ke sano- efikoj similaj al polvo.","Since toner is a fine dust , it can remain in the air for a long time , and is considered to have health effects similar to inert dust .",B2,False
"Eblas trovi la mondon - larĝa, kreskanta kie ĝi estas malseka aŭ humida.","Hornworts may be found world - wide , growing where it is damp or humid .",B2,False
Post longa serio da koncertoj la grupo revenis al Svedio por pasigi tempon kun siaj familioj kaj ekskribi kantojn por sia sekva albumo.,"After a long series of concerts , the band returned to Sweden in order to spend time with their families and begin writing songs for their next album .",B2,False
Blofiŝoj ofte estas kaptitaj de kaptako en malsupraj retoj.,Blobfish are often caught as bycatch in bottom trawling nets .,B2,False
"En homoj kaj bestoj, timo estas rede modulitata per la procezo de kogno kaj lernado .","In humans and animals , fear is modulated by the process of cognition and learning .",B2,False
"En homoj kaj bestoj, timo estas alĝustigita per kogno kaj lernado .","In humans and animals , fear is adjusted by cognition and learning .",B2,False
La paraŝutado estis fiasko.,The parachute drop was a failure .,B2,False
Adult kaj navala folio skaraboj nutras ĉian histon.,Adult and larval leaf beetles feed on all sorts of plant tissue .,B2,False
Malvarmaj vidiĝoj okazas super fendiĝoj sur la marflago kaŭzita de teta aktiveco.,Cold seeps occur over fissures on the seafloor caused by tectonic activity .,B2,False
La verŝajneco de simio manĝas ĉefe fruktojn kaj folioj.,The proboscis monkey eats mainly fruit and leaves .,B2,False
Multaj cianaidoj estas ege venenaj.,Many cyanides are highly toxic .,B2,False
Onidire en populara kulturo cianaido estas ege venena.,"In popular culture , cyanides are said to be highly toxic .",B2,False
La optimumigoj estis faritaj por plirapidigi komunajn taskojn tra ĉiuj subtenataj iOSS-aparatoj.,Performance optimizations were made in order to speed up common tasks across all supported iOS devices .,B2,False
La ĉefa celo de oficejo estas subteni siajn ŝipanojn farante sian laboron.,The main purpose of an office is to support its occupants in performing their job .,B2,False
La ĉefa celo de oficejo estas subteni siajn ŝipanojn farante siajn laborojn.,The main purpose of an office environment is to support its occupants in performing their jobs .,B2,False
"CXar la radoj sen artikoj, grimpas obstakloj kaŭzas la korpon de la veturilo al la Xakso.","For wheels without joints , climbing obstacles will cause the body of the vehicle to tilt .",B2,False
"tropika ondo kutime estas antaŭvenata de rekanta areo, intense seka aero, balkita kiel norda vento.","A tropical wave is usually preceded by an area of sinking , intensely dry air , sloping as a northeast wind .",B2,False
"tropika ondo kutime sekvas areon de fluakvo, intense seka aero, blovata el la nordo.","A tropical wave normally follows an area of sinking , intensely dry air , blowing from the northeast .",B2,False
"Faruno povus unue demonstri, ke la ĉefaj grupoj de la cerbo fakte respondecas pri grandaj malsamaj funkcioj.",Flourens was able to demonstrate convincingly for the first time that the main divisions of the brain were indeed responsible for largely different functions .,B2,False
"Farunopoj sukcesis unue montri, ke la ĉefaj partoj de la cerbo estis respondecaj por grandaj malsamaj funkcioj.",Flourens was able to show for the first time that the main parts of the brain were responsible for largely different functions .,B2,False
"Perjudoj estas grava krimo, ĉar ĝi povus esti uzata por forpreni la potencon de juĝejo, kiu povas kaŭzi punon por la malĝusta persono.","Perjury is a serious crime because it might be used to take away the power of a court , which can lead to punishment for the wrong person .",B2,False
"Tikomie impidetereco estis tiom granda, ke homoj subiĝis en intensa traŭmo , inkluzive de seksa atako.","Tonic immobility has been hypothesized to occur in humans undergoing intense trauma , including sexual assault .",B2,False
La flua rezisto estas la limo de la temperaturostato.,Thermal resistance is the inverse of thermal conductance .,B2,False
Radiometriaj rendevuoj estas uzataj por establi la geologian tempon.,Radiometric dating methods are used to establish the geological time scale .,B2,False
Konepoj estas eltenataj en specoj de materialoj varias de mola argilo al malmola ŝtono.,Tunnels are dug in types of materials varying from soft clay to hard rock .,B2,False
"Kunepoj estas elfolitaj en diversaj specoj de grundoj, el mola sablo kontraŭ malmola roko.","Tunnels are dug in different kinds of grounds , from soft sand to hard rock .",B2,False
"La urbo baras kun vegetaĵaro, sed havas supervarcan klimaton.","The city is lush with vegetation , but has an arid climate .",B2,False
"La urbo havas multe da planta vivo , sed havas pli fortan klimaton.","The city has a lot of plant life , but has an arid climate .",B2,False
La trajno povas kelkfoje sperti relegan lanĉon.,A train may occasionally experience a rollback following a launch .,B2,False
Du ĉefaj specialaj operacioj estis planitaj por la ofendaĵo.,Two major special operations were planned for the offensive .,B2,False
"Nov-Zelando anoncis, ke la lando sendos du dek kvin alvenantaj intercivitanaj teamoj por helpi en inundoj.",New Zealand announced that the country would send two fifteen-member civil defence teams to assist in flood rescue efforts .,B2,False
La areo de la Cetono estas 991 km2 kaj la plej ofte dividita en tri amasojn.,The area of the canton is 991 km2 and commonly divided into three hill masses .,B2,False
La areo de la ktonio estas 991 km kaj kutime estas dividita en tri areojn .,The area of the canton is 991 km and is usually divided into three hilly areas .,B2,False
"Antaŭ ol kontakti eŭropanojn, la indiĝenojn de Nord-Ameriko oni dividis en multajn malsamajn komunumojn, de malmultaj familioj al grandaj imperioj.","Before contact with Europeans the natives of North America were divided into many different communities , from small bands of a few families to large empires .",B2,False
"Renuzinantoj estas la intenca eldono de specioj en la sovaĝan parton, el kaptiteco aŭ transiritaj el aliaj zonoj, kie la specio vivas.","Reintroduction is the deliberate release of species into the wild , from captivity or relocated from other areas where the species survives .",B2,False
Oattoj kutime estas uzataj kiel nutraĵo por ĉevaloj - kiel tuto aŭ rulitaj kiel parto de nutraĵoj.,Oats are also commonly used as feed for horses - as whole or rolled oats or as part of food bits .,B2,False
Nigra helpis pligrandigi bazajn sciencajn kaj klinikajn sciojn en kora koro.,Black helped increase basic scientific and clinical knowledge in cardiology .,B2,False
Ĝi estas tre malgranda -studinda korpo malgraŭ esti unu el la plej grandaj asteroidoj.,It is a very little -studied body despite being one of the largest asteroids .,B2,False
"Oni ne multe studis, kvankam ĝi estis unu el la plej grandaj asteroidoj.",It has not been studied a lot despite being one of the biggest asteroids .,B2,False
"La insulaj bestoj estas ĉefe parto de laviana vario, kvankam kunikloj estas starigitaj ĉi tie longe.","The island 's animals are mainly of the avian variety , although rabbits are long established here .",B2,False
"Supozu, ke trejnisto uzas du metodojn dum unu monato.",Suppose a coach trains long-distance runners for one month using two methods .,B2,False
Protestado de bildo el diff-a terura ŝablono necesigas negranigeblan matematikon.,Producing an image from a diffraction pattern requires sophisticated mathematics .,B2,False
Prometi bildon de diff-aga identeco postulas negranigeblan matematikon kaj ofte regulan procedon pri modelo kaj refandado de .,Producing an image from a diffraction pattern requires sophisticated mathematics and often an iterative process of modeling and refinement .,B2,False
"Koratroj eble havas kelkajn blankajn pulsojn aŭ makulojn , aŭ eĉ palajn gasteksojn.","Korats may rarely have some white markings or spots , or even pale gray stripes .",B2,False
"Krom sukcesaj sontraktroj , li ankaŭ ricevis atraktiĝon por siaj fonoj kaj estas konsiderata kiel unu el la plej bonaj fonoj -phop komponistoj en Barato.","Apart from successful soundtracks , he has also received acclaim for his background scores and is considered one of the finest background -score composers in India .",B2,False
Estas malmultaj floraroj kaj faŭnoj pro la severa klimato.,There are few flora and fauna due to the harsh climate .,B2,False
"Manlibroj eble havas informojn pri iu temo , kaj ĉefe estas gvidantoj de informoj en speciala kampo aŭ pri speciala metodo.","Handbooks may have information about any topic , and are mostly guides of information in a special field or about a special method .",B2,False
"Manlibroj povas trakti iun temon , kaj ĝenerale plenumas informojn en aparta kampo aŭ pri aparta tekniko.","Handbooks may deal with any topic , and are generally compendiums of information in a particular field or about a particular technique .",B2,False
La du nombrifiroj plej vaste uzataj estas la universala nombrifilo kaj la ekzisto kribilo .,The two quantifiers most widely used are the universal quantifier and the existence quantifier .,B2,False
La plej neebla trajto de NGC 15-9 estas ĝia potenca stelomulantoj .,The most notable feature of NGC 1569 is its powerful starburst .,B2,False
NG numero 159 estas karakterizata de granda stelistoj .,NGC 1569 is characterized by a large starburst .,B2,False
"Japana malliberigito - de militaj tendaroj, multaj el ili estis uzataj kiel bararo, ankaŭ kaŭzis multajn mortojn.","Japanese prisoner - of- war camps , many of which were used as labor camps , also caused a lot of deaths .",B2,False
"Japana malliberigito - de militaj tendaroj, multaj el ili estis uzataj kiel bararo, ankaŭ havis altajn mortoprezojn.","Japanese prisoner - of- war camps , many of which were used as labor camps , also had high death rates .",B2,False
Bangladeŝo kutimas movi nacotikojn faritajn en najbarajn landojn.,Bangladesh is used to move narcotics made in neighboring countries .,B2,False
En multaj landoj fari aŭ havi pipon estas grava krimo.,In many countries making or having a pipe bomb is a serious crime .,B2,False
"En multaj landoj la fabrikado aŭ posedo de bombo estas grava krimo, sendepende de ĝia uzado.","In many countries the manufacture or possession of a pipe bomb is a serious crime , regardless of its intended use .",B2,False
"La arbaro estas grava distra regiono kun lignolandj promenoj, ne pro iliaj vidigiloj de bluaj ribeloj en frua printempo, rokkrugrandado kaj vendo.","The forest is an important recreational area with woodland walks , noted for their displays of bluebells in the early spring , rock climbing and hillwalking .",B2,False
"La 31an de januaro 2013, li estis pafita kaj vundita dum lia propono por la ŝtatprezidanto en 2013.","On 31 January 2013 , he was shot and wounded during his bid for the presidency in 2013 .",B2,False
En 2013 li estis pafita kaj vundita dum la propono de la prezidento.,In 2013 he was shot and wounded during his bid for the presidency .,B2,False
La roka marbordo estas la loko de kelkaj ŝipperoj.,The rocky coastline has been the site of a number of shipwrecks .,B2,False
"Je la aĝo de fundamento en 1878 la ordono havis nur unu klason, tiun de Companio, sen limigo .","At the time of foundation in 1878 the order had only one class , that of Companion , with no quota imposed .",B2,False
"Freŭda ne kredis je la ekzisto de supernatura forto, kiu havas antaŭprogramon, ke ni kondutis iel.",Freud did not believe in the existence of a supernatural force which has pre-programmed us to behave in a certain way .,B2,False
"Freŭdo ne kredas, ke ekzistas ia supernatura forto, kiu influas la vojon, laŭ kiu ni pensas, aŭ havas antaŭprogramon, ke ni kondutis iel.",Freud does not believe there is any supernatural force that affects the way we think or has pre-programmed us to behave in a certain way .,B2,False
"Ĉiu kurso de la universitato havas sian propran dungiĝon , la plimulto de la tempo por konkura ekzameno.","Each course of the university has its own recruitment process , most of the time by a competitive examination .",B2,False
"Kvankam la PID-kokoj povus esti resanigitaj per la infekto, eble ne foriĝos.",Although the PID infection may be cured the damage from the infection may not go away .,B2,False
"Eĉ kiam la kokako de PID estas resanigita, efektoj de la infekto povas esti konstanta .","Even when the PID infection is cured , effects of the infection may be permanent .",B2,False
Oni ofte fermis la parkon al vizitantoj pro svingizitaj gasoj .,The park has been frequently closed to visitors because of sulphuric gas emissions .,B2,False
La parko estas ofte fermita pro svinga gaso.,The park is frequently closed because of sulphur gas .,B2,False
La baza financa ago de ĉi tiu departemento estas la brutaro breda.,The basic economical activity of this department is the cattle breeding .,B2,False
"VFD estas uzata en aplikaĵoj, kiuj varias de malgrandaj aparatoj al grandaj kunpremiloj.",VFDs are used in applications ranging from small appliances to large compressors .,B2,False
"VFD uzas multajn aĵojn, kiuj estas uzataj de malgrandaj aparatoj al grandaj motoriloj kaj kunpremiloj.",VFDs are used for many things that range from small appliances to large mining motors and compressors .,B2,False
Malentemaj opinioj kutime estas verkitaj samtempe kiel la plimulto de la opinio kaj iu kontraŭivaj opinioj.,Dissenting opinions are normally written at the same time as the majority opinion and any concurring opinions .,B2,False
"Malentemaj opinioj kutime estas verkitaj samtempe kiel la plimulto kaj iu ajn elpensanta opinioj , kaj ankaŭ estas liveritaj kaj eldonitaj samtempe.","Dissenting opinions are normally written at the same time as the majority opinion and any concurring opinions , and are also delivered and published at the same time .",B2,False
"En la 1970-aj jaroj, vitro-poraj kuiristoj komencis aperi .","In the 1970s , glass-ceramic cooktops started to appear .",B2,False
"En la 1970-aj jaroj, vitro-ramika fornoj komencis aperi.","In the 1970s , glass-ceramic stoves began appearing .",B2,False
"La historia revuo , forumo, kie Stazeio povas interŝanĝi ideojn kaj nove publikigi informojn , venis en la 19-an jarcenton.","The historical journal , a forum where academic historians could exchange ideas and publish newly discovered information , came into being in the 19th century .",B2,False
"La ideo de la historiaj ĵurnaloj , forumo, kie akademia historiistoj povis interŝanĝi ideojn , eniris en la dek-naŭan jarcenton.","The idea of the historical journal , a forum where academic historians could exchange ideas , came into being in the nineteenth century .",B2,False
"Estas diversaj simptomoj, kiuj eble kaŭzas sentilojn super kruo.",There are a variety of symptoms that have may cause sensory overload .,B2,False
"Ekzistas vastaj diversaj simptomoj, kiujn oni trovis kiel asociiĝi kun sentiloj super spinado.",There are a wide variety of symptoms that have been found to be associated with sensory overload .,B2,False
Tiu listo estas en chrona ordo trans la tablo per genuso.,This list is in chronological order across the table by genus .,B2,False
"Testistoj devas scii pri aerspaca inĝenieristoj por scii, kiel kaj kial aviadiloj estas esplorataj.",Test pilots must know about aerospace engineering in order to know how and why planes are tested .,B2,False
La osaŭrio iĝis turisma allogo el la fruaj 19-a jarcento kaj estis malfermita al la publiko sur regula bazo de 1867 .,The ossuary became a tourist attraction on from the early 19th century and has been open to the public on a regular basis from 1867 .,B2,False
"La osaŭrio iĝis turisma allogo sur malgranda skalo ekde la frua jarcento, kaj ĝi estis malfermita al la publiko sur regula bazo de 1867 .","The ossuary became a tourist attraction on a small scale from the early 19th century , and has been open to the public on a regular basis from 1867 .",B2,False
Drgenta retoj havas krudan mishilon por lasi organismojn pli malgrandaj ol la celgrupo per .,Dredge nets have a coarse mesh in order to let organisms smaller than the target species through .,B2,False
La eŭropa transŝipiĝo estas malgranda por vasta grando de ranoj.,The European spadefoot toads are small to large sized frogs .,B2,False
Dum la malfrua aprilo la japanaj submarŝipoj kaj traserĉis la regionon kie alteriĝo estis planita.,"During late April , the Japanese submarines and searched the area where landings were planned .",B2,False
Alterro de generacioj inter multĉela senĉelo kaj plurĉela generacio ne ekzistas en bestoj.,Alternation of generations between a multicellular diploid and a multicellular haploid generation does not exist in animals .,B2,False
"KPlerumoj povas enhavi ion ajn, ekzemple uzanto- instrukciojn por kuireja aparato, aŭ religian kaj politikajn ideojn.","Pamphlets can contain anything , such as user instructions information for kitchen appliances , or religious and political ideas .",B2,False
"Pro la evoluo de la terkulturo en la sudo, grava kultura disvolviĝo estis ebla tie .","As a result of the development of agriculture in the south , important cultural development was possible there .",B2,False
"Kalkuli la nombron de ASSL estas malfacile, ĉar ASL- uzantoj neniam estas nombritaj de la usona popolnombrado.",Counting the number of ASL signers is difficult because ASL users have never been counted by the American census .,B2,False
"Kalkuli la nombron de ASL estas malfacile, ĉar ASL- uzantoj neniam estas nombritaj de la usona popolnombrado.",Counting the number of ASL speakers is difficult because ASL users have never been counted by the American census .,B2,False
"Kvankam entreprenoj kutime tenas iujn faksilaĵojn, la teknologio frontis pli kaj pliiĝantan konkurson el Interreto - bazitajn alternativojn .","Although businesses usually maintain some kind of fax capability , the technology has faced increasing competition from Internet - based alternatives .",B2,False
Iuj specioj de algoj formas simbionojn kun aliaj organismoj.,Some species of algae form symbiotic relationships with other organisms .,B2,False
"Kaĉosakoj estis uzataj en batalarto dum la tuta tempo, kiam estas skribita historio de milita trejnado.",Punching bags have been used in martial arts for as long as there has been a written history of military training .,B2,False
Kaĉosakoj estis uzataj en batalartoj kaj glavoluditaj por la tuta historio de milita trejnado.,Punching bags have been used in martial arts and swordplay for the entire written history of military training .,B2,False
La navaliĝo inter la eta germana konkluo kaj la meticio No. 3 komando avertis la germanan defendon ĉe la Blua plaĝo.,The naval engagement between the small German convoy and the craft carrying No. 3 Commando had alerted the German defenders at Blue beach .,B2,False
Pli alta - averaĝaj akvofluoj kaŭzitaj de la tutmonda varmiĝo estas la ĉefa kaŭzo de koralo.,Above - average sea water temperatures caused by global warming is the leading cause of coral bleaching .,B2,False
La ĉefa kaŭzo de koraj blankigiloj plialtiĝas akvotempe.,The leading cause of coral bleaching is rising water temperatures .,B2,False
