esperanto,english,cefr_level
Iuj specifaj ministoj / sekcioj ne estas metitaj al iu ajn en la ŝranko sed la ĉefministro mem.,Some specific ministries / department are not allocated to anyone in the cabinet but the Prime Minister themself .,B2
"Ŝajnas, ke ĝi estas flava kaj opatiko, glata kaj kremo.","In appearance it is light yellow and opaque , smooth and creamy .",B2
"Kiel industriaj voĉdonoj, marplanedoj estas ankaŭ populara ornameto, plantitaj en parkoj kaj ĝardenoj kun varmaj prenaj klimatoj.","As well as industrial uses , maritime pine is also a popular ornamental tree , planted in parks and gardens in areas with warm temperate climates .",B2
"Aldone al industriaj uzadoj, mara pinoj estas ankaŭ populara ornameto, ofte plantitaj en parkoj kaj ĝardenoj kun varmaj mengrejoj.","In addition to industrial uses , maritime pine is also a popular ornamental tree , often planted in parks and gardens in areas with warm temperate climates .",B2
Benino literaturo havis fortan aŭ tradicion longe antaŭ ol la franca fariĝis la ĉefa lingvo .,Beninese literature had a strong oral tradition long before French became the main language .,B2
Benino literaturo havis fortan aŭ tradicion longe antaŭ ol la franca fariĝis la supera lingvo .,Beninese literature had a strong oral tradition long before French became the dominant language .,B2
"La urbo estas hejme por ŝipo fortegi industrion, faras industrion kaj vidismiojn .","The city is home to a shipbuilding industry , brewing industry and sawmills .",B2
"Do not translate the keyword between brackets (e. g. ServerName, ServerAdmin, etc.)",A request line containing only the path name is accepted by servers to maintain compatibility with HTTP clients before the HTTP / 1.0 standard .,B2
Tra la universitata kampuso multaj fontoj provizas blankan bruon kiel fonan fonon.,"Throughout the campus , numerous fountains provide white noise as a background .",B2
Duobla pedalo estas du pedaloj samtempe ludata.,A double pedal is two pedal tones played simultaneously .,B2
En 1883 oni nomumis lin ĝenerala admiralo .,In 1883 he was appointed general-admiral .,B2
En 1883 oni nomumis lin ĝenerala admiralo.,In 1883 he was appointed general admiral .,B2
"La sekvaj estas listo de iuj neeblaj nediskrikigoj, kiuj diskutas anararkian anitismon.",The following is a list of some notable nonfiction works discussing anarcho-capitalism .,B2
"La urba loĝantaro iĝis pli malsimila ekde la fino de la Monda Milito, kiam mi ŝajnas fortika ŝtalo altiras milojn da laboristoj.","The city 's population became more diverse since the end of World War II , when a seemingly robust steel industry attracted thousands of workers .",B2
"La urbo ""la loĝantaro iĝis pli malsimila post la fino de la Monda Milito, kiam mi ŝajnas fortika ŝtalo allogis milojn da laboristoj .","The city 's population became more diverse after the end of World War II , when a seemingly robust steel industry attracted thousands of workers .",B2
La grupo - elseku energion da semilo emas malkreski kun pli kreskanta temperaturo.,The band - gap energy of semiconductors tends to decrease with increasing temperature .,B2
"Dum la dua mondmilito, la mizero estis tre grava.","During World War I , the strait was of strategic importance .",B2
"Dum la dua mondmilito, la malfacilaĵo estis de strenca signifo.","During World War I , the strait was of strategic significance .",B2
"Je la 5a de junio 2018, la kompanio anoncis sian emeritiĝon de la firmao pro malkreski siajn sanproblemojn.","On June 5 , 2018 , the company announced his retirement from the company due to declining health issues .",B2
"Ekzistas kutime malpli da senatanoj ol estas membroj en ŝtato ""en pli malalta .""",There are usually fewer state senators than there are members in a state 's lower house .,B2
"Ekzistas kutime malpli da senatanoj ol estas membroj de ŝtato ""en pli malalta .""",There are typically fewer state senators than there are members of a state 's lower house .,B2
La kutima leĝa opinio pri federaciaj laboristoj inversiĝis en la 1930-a jaro.,The common legal opinion on federal child labor regulation reversed in the 1930s .,B2
La kutima leĝa opinio de federaciaj infanrezertadoj inversiĝis en la 1930-aj .,The common legal opinion of federal child labor regulation reversed in the 1930s .,B2
"Pitoj faritaj de kukurboj uzas tortojn, kiuj mezuras ĉirkaŭ ses colojn je diametro.",Pies made from pumpkins use pie pumpkins which measure about six to eight inches in diameter .,B2
"Pietoj faris el kukurboj uzatajn kukurbojn, kiuj estas ĉirkaŭ ses coloj en diametro.",Pies made from pumpkins use pie pumpkins that are about six-to- eight inches in diameter .,B2
"Greenkarmo estas unu el la plej multekostaj aromajxoj, sed malmulte necesas doni la guston .",Green cardamom is one of the most expensive spices by weight but little is needed to give the flavor .,B2
"Greenkarmo estas unu el la plej multekostaj aromajxoj laŭ pezo, sed malmulte necesas doni guston.",Green cardamom is one of the most expensive spices by weight but little is needed to impart flavor .,B2
En marto 2007 la amaskomunikiloj raportis disputon pri la fina tranĉo de la filmo.,"In March 2007 , the media reported a dispute over the final cut of the film .",B2
En la jaro 2007 la amaskomunikiloj raportis disputon pri la fina parto de la filmo.,"In March 2007 , the media reported a dispute over the final cut of the movie .",B2
Iuj konsideras la katojn katojuittaj por esti fuŝa ero.,Some people consider catsuits to be a fetish item .,B2
Tradiciaj areoj kiel arbaro kaj terkulturo estas ankoraŭ gravaj .,Traditional areas such as forestry and agriculture are still important .,B2
"Biiza kemio estas tiu branĉo de la vivoscienco, kiu temas pri la studado de biologiaj procezoj uzante kemiajn metodojn.","Bioorganic chemistry is that branch of life science , which deals with the study of biological processes using chemical methods .",B2
La ametistoj lignos naturaj loĝejoj estas subtropiaj aŭ tropikaj stratplanedoj kaj subprotromiĝemaj aŭ tropikaj arbaroj.,The amethyst woodstar 's natural habitats are subtropical or tropical moist lowland forest and subtropical or tropical moist montane forest .,B2
Elektraj radioj troviĝas el malprofundaj bordoj ĝis almenaŭ mil m profundeco .,Electric rays are found from shallow coastal waters down to at least 1000 m depth .,B2
"La kluŝo estas verda globo kun la komencaj CF en la blanka centro, kune kun dek du blankaj prunoj.","The club 's logo is a green globe with the initials CFC in white across the center , along with twelve white stylised pine seeds .",B2
"La klubo 'semblendo estas verda globo kun la komencaj CF en blanka centro, kune kun dek du blankaj stelaj semoj.","The club 's logo is a green globe with the initials CFC in white on the center , along with twelve white stylized pine seeds .",B2
"Kelkaj blokaj ĉifroj , ekzemple RC5, subtenas blokgrandecon .","A few block ciphers , such as RC5 , support a variable block size .",B2
"Tiu alfabeto funkcias laŭ la aldono de la aldonaj valoroj, en kiuj la numeraj valoroj de la literoj estas aldonataj por formi la tutan .",This alphabetic system operates on the additive principle in which the numeric values of the letters are added together to form the total .,B2
"Kvankam relative malofte, kantoj povas venki kaj reen en .","Though relatively rare , songs can fade out , then fade back in .",B2
"Kvankam relative malofte, kantoj povas venki kaj reen en .","Though relatively rare , songs can fade out then fade back in .",B2
"Protolesoj estas junaj objektoj, kiuj ankoraŭ ne kompletigis la procedon de gasmolia nebulo al vera stelo.",Protostars are young objects that have not yet completed the process of contraction from a gas nebula to a true star .,B2
En 18953 la ses ĉefministroj de la aŭstraliaj kolonianoj konsentis establi novan Konvencion de populara voĉdonado.,"In 1895 , the six premiers of the Australian colonies agreed to establish a new Convention by popular vote .",B2
"Defenda ŝtormo estas pri malrapida rapideco, singarda kaj preciza stirilo, kaj altigita tra grandaj rapidoj de stiriloj en la stira stirilo .","Rock crawling is about slow-speed , careful and precise driving , and high torque generated through large gear reductions in the vehicles drivetrain .",B2
Ĉar la fino de la serioj de la serio havis rondan eblon - longo de la filmo estis en la verkoj.,Since the end of the series rumors have circulated that a feature - length movie was in the works .,B2
"Dum sia longa katagnologo, Vampiro Squidy drintis en la profundo, nigra oceanfluoj.","With their long velar filaments deployed , Vampire Squid have been observed drifting along in the deep , black ocean currents .",B2
Ne ekzistas rilato inter la formo de bakterio kaj ties koloro en la Grala makulo.,There is no connection between the shape of a bacterium and its color in the Gram staining .,B2
"Oni sendis dokumentojn al dek sep urboj en menso por gastigo al WtresMania evento inter 2012 kaj 2014, kun dek kvar respondoj en intereso .","Bidding documents were sent to seventeen cities in mind for hosting a WrestleMania event between 2012 and 2014 , with fourteen replying in interest .",B2
"La akcento de la malliberejo, el la prizonuloj ""lamentismo,"" estis la ĝardeno .","The highlight of the prison , from the inmates ' perspective , was the garden .",B2
"La akcento de la malliberejo, el la prizonuloj ""rigardo de rigardo ,"" estis la ĝardeno .","The highlight of the prison , from the inmates ' point of view , was the garden .",B2
"La kristanaj metalaj tacxmentoj ekzistas en la plej multaj subgenezoj de pezaj metalaj muziko , kaj la komuna ligilo inter la plej multaj kristanaj metalaj katenoj estas la tekstoj .","Christian metal bands exist in most of the subgenres of heavy metal music , and the only common link among most Christian metal bands are the lyrics .",B2
Sur la marbordo kaj elmaraj ventoj povas esti ekstreme fortaj kiel la lagoj varmaj kaj malvarmetaj pli malrapide ol la lando.,On - shore and off-shore winds can be extremely strong as the lake warms and cools more slowly than the land .,B2
"Sur la marbordo kaj elmaraj ventoj povas esti ege fortaj, kiel la lagoj varma kaj malvarmetaj pli malrapide ol la tero.","On - shore and off-shore winds can be extremely strong , as the lake warms and cools more slowly than the land .",B2
Aquiferdoj povas okazi en diversaj abismoj.,Aquifers can occur at various depths .,B2
Aquiferoj povas okazi en diversaj abismoj.,Aquifers may occur at various depths .,B2
"Lea, ĉu revoludoj estas unu el la plej profundaj saltoj de maraj bestoj.",Leatherback turtles are one of the deepest- diving marine animals .,B2
Du el la plej grandaj konataj influoj sur la Tero okazis dum la estro S-ro Saian .,Two of the largest known impact events on Earth occurred during the Orosirian .,B2
Du el la plej grandaj konataj influoj sur la Tero okazis dum la estro S-ro Saian .,Two of the largest known impact events on Earth happened during the Orosirian .,B2
Super 500 atmosferaj nukleaj armiloj estis faritaj en diversaj retejoj tra la mondo de 1945 al 1980 .,Over 500 atmospheric nuclear weapons tests were conducted at various sites around the world from 1945 to 1980 .,B2
"Dum centoj da komiksoj estas faritaj en la Inspura grupo, kelkaj ne pli ol la aliaj.","While hundreds of comic series have been made in the Franco- Belgian group , some are more notable than others .",B2
Aliaj fontoj uzas minmama kiel malaltan 28an kaj maksiman tiom alte kiom 90 kn.,Other sources use minima as low as 28 kn and maxima as high as 90 kn .,B2
"Aliaj fontoj uzas minidan kiel malaltan 28-an, kaj maksim-an tiom alta kiom 90 kn.","Other sources use minima as low as 28 kn , and maxima as high as 90 kn .",B2
En la centro de vilaĝo la tero komencas malfermi kaj verdan trafiklumon el interne.,In the center of a village the ground begins to open up and a strange green light emanates from within .,B2
"En la centro de vilaĝo, la tero komencas malfermi kaj verdan trafiklumon el interne.","In the center of a village , the ground begins to open up and a strange green light emanates from within .",B2
La kalkuloj daŭris por plantkulturado kaj estas ankoraŭ ĉefe kamparanoj.,The county continued to be developed for agriculture and is still mostly rural .,B2
"Sube estas listo de plej longaj reĝaj krozadopremizoj en la skatolo mezuris per la ludanto "" longaj regxadoj .""",Below is a list of longest reigning cruiserweight champions in boxing measured by the player 's longest reign .,B2
"La G kaj PG-taksoj ofte malaperas tiel ofte, kiel ili estas tipaj de normala, ĉiutage grimpado.","The G and PG ratings are often left out as they are typical of normal , everyday climbing .",B2
"Flanalo, flanneste , kaj kotonalo povas esti teksata aŭ rulata en iu ajn pununupia aŭ rulapiapia .","Flannel , flannelette , and cotton flannel can be woven in either a twill weave or plain weave .",B2
"Tiu subfamikeco estas vaste distribuita, kaj membroj estas adaptitaj al vastaj medioj.","This subfamily is widely distributed , and members are adapted to a wide variety of environments .",B2
Tiu subfamikeco estas vaste distribuite kaj membroj estas adaptitaj al vastaj medioj.,This subfamily is widely distributed and members are adapted to a wide variety of environments .,B2
La sabriistoj estas facile distingitaj de aliaj gruoj en la regiono per la tuta griza koloro kaj la kontrasto de la ruĝa kapo kaj la supra kolo.,The sarus crane is easily distinguished from other cranes in the region by the overall grey color and the contrasting red head and upper neck .,B2
"Supre de la okcidenta enirejo estas la vizaĝo de la astronomizea horloĝo, kiu estis detruita dum la 30-a jaro.","Above the western entrance is the face of the astronomical clock , which was destroyed during the 30 - year war .",B2
En la generacioj la familianoj loĝas en kelkaj historiaj hejmoj.,"Over the generations , the family members have resided in some notable historic homes .",B2
En kelkaj historiaj domoj loĝas la familio.,Over the generations the family members have resided in some notable historic homes .,B2
"Carme ne ricevis sian nunan nomon ĝis 1975, antaŭ tiam ĝi estis simple konata kiel Jupitero XI.","Carme did not receive its present name until 1975 ; before then , it was simply known as Jupiter XI .",B2
"En Aŭstralio la koloniigo komencis en la 1940aj jaroj, kaj la specio establis sin en la nordo kaj oriente de la kontinento.","In Australia , the colonization began in the 1940s , with the species establishing itself in the north and east of the continent .",B2
"En Aŭstralio la koloniigo komenciĝis en la 1940aj jaroj, kaj la specio establis sin en la nordo kaj Oriento de la kontinento.","In Australia the colonization began in the 1940s , with the species establishing itself in the north and East of the continent .",B2
"Post la milito lia esplorado koncentriĝis pri homaj genetikoj, pioniroj en tio, kio nun estas konata kiel nerekla kontrolo.","After the war , his research focused on human genetics , pioneering in what is now known as gene regulation .",B2
"Post la milito lia esplorado koncentriĝis pri homaj genetikoj, pioniroj en tio, kio nun estas konata kiel nefila kontrolo .","After the war his research focused on human genetics , pioneering in what is now known as gene regulation .",B2
Aliaj aŭtoroj provis uzi Evoluikan ludon por klarigi la evoluigon de homaj sintenoj pri moraleco kaj koncernaj kondutoj .,Other authors have attempted to use Evolutionary game theory to explain the emergence of human attitudes about morality and corresponding animal behaviors .,B2
Urina trakopikoj povas influi 10 % el la homoj dum infaneco.,Urinary tract infections can affect 10 % of people during childhood .,B2
Urinika infektoj povas influi 10 homojn dum infaneco.,Urinary tract infections may affect 10 % of people during childhood .,B2
"Venesoj komencis ludi instrumentojn je la aĝo de 10, kiam ŝiaj gepatroj unue sendis ŝin al pianolecionoj.",Venegas began playing instruments at the age of 10 when her parents first sent her to piano lessons .,B2
Esplorado kutime havas miksaĵon pri kampo kaj laboratorioj.,Research usually involve a mixture of field and laboratory studies .,B2
"La nomoj de oblasts kutime ne konformas al la nomoj de la respektivaj historiaj regionoj , ĉar ili estis kreitaj kiel pure administraj unuloj.","The names of oblasts did not usually correspond to the names of the respective historical regions , as they were created as purely administrative units .",B2
"La nomoj de oblasts kutime ne konformas al la nomoj de la historiaj regionoj , kiel ili estis kreitaj kiel pure administraj .""","The names of oblasts did not usually correspond to the names of the historical regions , as they were created as purely administrative units .",B2
"En la 2000a Usono Census , estis 297,490 homoj, 108 familioj kaj 78, 59 familioj redelis en la nombro de .","At the 2000 United States Census , there were 297,490 people , 108,984 households and 78,359 families residing in the county .",B2
"Je la 8a de julio 1680 , Hokeke observis la sendendajn regulaĵojn asociitan kun la reĝimo de vibroj pri vitraj teleroj.","On 8 July 1680 , Hooke observed the nodal patterns associated with the mode of vibration of glass plates .",B2
"Je la 8a de julio 1680 , Hokeke observis la sendendajn regulaĵojn asociitan kun la reĝimoj de vibroj pri vitraj teleroj.","On 8 July 1680 , Hooke observed the nodal patterns associated with the modes of vibration of glass plates .",B2
Inter 1918 kaj 1940 la centro de la urbo trovis grandan renovigon.,"Between 1918 and 1940 , the center of the city undertook large renovation work .",B2
"La kato kranio estas nekutima inter mamuloj, kiuj havas tre grandajn okulon kaj fortan kaj specialigitan makzelon.",The cat skull is unusual among mammals in having very large eye sockets and a powerful and specialized jaw .,B2
"La kato kranio estas nekutima inter mamuloj, kiuj havas tre grandajn okulojn por krei bazojn kaj fortan specialisman makzelon.",The cat skull is unusual among mammals in having very large eye sockets and a powerful specialized jaw .,B2
La franca estas la sola oficiala lingvo en Francio kiel tuta kaj en tiuj komunumoj.,French is the only official language in France as a whole and in these municipalities .,B2
"Iuj komputilaj lingvoj kaj IEEE 754 - 2008 normaj dikskendaj kalkuloj, kiuj ne devus esti rondigataj dufoje.",Some computer languages and the IEEE 754 - 2008 standard dictate that in straightforward calculations the result should not be rounded twice .,B2
"Marso havas nur maldikan atmosferon; tamen, ĝi estas ekstreme polvo, kaj multe da lumo diskuras.","Mars has only a thin atmosphere ; however , it is extremely dusty and there is much light that is scattered about .",B2
"Marso havas nur maldikan atmosferon; tamen, ĝi estas treege polvo, kaj estas multe da lumo, kiu estas disjxetitaj .","Mars has only a thin atmosphere ; however , it is extremely dusty , and there is much light that is scattered about .",B2
"La plimulto de la urbo ""his 19a - la domoj estis konstruitaj de cindla ŝtono de mia proksima .",Most of the city 's 19th - century houses were built of limestone mined nearby .,B2
"Multaj specioj de grandaj predantoj ankaŭ pri la lernejo, inkluzive de multaj tre migraj fiŝoj, kiel tiu denuna kaj iuj oceanaj ŝarkoj.","Many species of large predatory fish also school , including many highly migratory fish , such as tuna and some oceangoing sharks .",B2
"Multaj specioj de grandaj predantoj ankaŭ pri la lernejo, inkluzive de multaj tre migraj fiŝoj, kiel tiu denuna kaj iuj oceanaj marjoj iras ŝarkoj.","Many species of large predatory fish also school , including many highly migratory fish , such as tuna and some ocean going sharks .",B2
"Ekzistas multaj malsamaj specoj de kvaropoj , iuj el ili estas duonkapitaj gemoj .","There are many different varieties of quartz , some of which are semi-precious gemstones .",B2
"La templo estas fama pro proksimume 25,000 nigraj ratoj, kiuj vivas , kaj estas reverigitaj en la templo .","The temple is famous for the approximately 25,000 black rats that live , and are revered , in the temple .",B2
"La templo estas fama pro proksimume 25,000 nigraj ratoj, kiuj vivas , kaj estas reverigitaj en la templo .","The temple is famous for the approximately 25,000 black rats that live , and are revered in , the temple .",B2
Akvokribroj estas dividitaj en du grupojn: reagoj kaj impulsoj de turbinoj.,Water turbines are divided into two groups : reaction turbines and impulse turbines .,B2
"Per sia verko ĉe la Muzeo li konatiĝis kun multaj Egiptujologoj kaj arkeologoj, kiuj vizitis la muzeon .",Through his work at the Museum he became acquainted to many Egyptologists and archaeologists who visited the Museum .,B2
La celo de formala nomo estas havi unu nomon akceptitan kaj uzatan tutmonde por aparta planto aŭ fabriko .,The purpose of a formal name is to have a single name that is accepted and used worldwide for a particular plant or plant group .,B2
La metalo-catoro de organo estas ĝenerale tre livaliĝinta.,The metal-carbon bond in organometallic compounds is generally highly covalent .,C1
"Ili ne havas korpon de truto, nek rondan nek spiran sistemon.","They have no body cavity , and no circulatory or respiratory system .",C1
"Limplalla aŭ lamfo - permenacio estis ofte uzata en la 16a kaj 17a jarcentoj, kaj foje almetiĝis, sed ankaŭ ne ofte estis pli efikaj.","Limp vellum or limp - parchment bindings were used frequently in the 16th and 17th centuries , and were sometimes gilt but were also often not embellished .",C1
"Ĉar oksigeno estas pli elektropolo ol karbono, la elektronoj en la ligo estas pli kontraŭ ĝi.","Because oxygen is more electronegative than carbon , the electrons in the bond are more towards it .",C1
"En maskĝo, malstreĉe plibonigiĝas kaŭzebleco de spermo en amenismo.","In males , relaxin enhances motility of sperm in semen .",C1
Hiperbo eble estas vidita en multaj osteroj.,Hyperbolas may be seen in many sundials .,C1
"La impostokro de la genro estas malsimpla, kaj ankoraŭ sub enketo.","The taxonomy of the genus is complex , and still under investigation .",C1
"Ina cervoj kutime estas pli malgrandaj ol la maskloj, kun pli malgrandaj manetoj.","Female stag beetles are usually smaller than the males , with smaller mandibles .",C1
Posedi gripon estas iom venena.,Potassium fluoride is somewhat toxic .,C1
"La dorso hakas aŭ hakas la trancxilon estas, kiam la artisto uzas akran flugilon kaj frapis la bruston de sia kontraŭulo per la manplato .",A backhand chop or knife edge chop is when a wrestler uses a backhand wing and slaps the chest of their opponent with the palm of their hand .,C1
"Ruando havas enregantan tropikan superlandan klimaton , kun malalta temperaturoj ol tipas por ekvatoro pro ĝia alta elprio.","Rwanda has a temperate tropical highland climate , with lower temperatures than are typical for equatorial countries because of its high elevation .",C1
"Kiel ĉiuj ĉifroŝlosiloj, seancoŝlosiloj devas esti elektitaj por ke ili ne estu antaŭdiritaj de atakanto, kutime necesas, ke ili estu hazarde elektitaj.","Like all cryptographic keys , session keys must be chosen so that they cannot be predicted by an attacker , usually requiring them to be chosen randomly .",C1
"La baza ekvacio de radiometria kunigaĵo postulas, ke nek la gepatra nuco aŭ la filino povas eniri aŭ lasi la materialon post ties konstruo.",The basic equation of radiometric dating requires that neither the parent nuclide nor the daughter product can enter or leave the material after its formation .,C1
Artropio povas esti uzata por helpi la lernadon.,Anthropomorphism can be used to assist learning .,C1
Athroomkorismo povas okazi ankaŭ per eraro.,Anthropomorphism can happen by mistake too .,C1
"Por Plumeti ringojn, io devas esti en ordo por ili.","For discrete rings to persist , something must confine them .",C1
"Kontraŭ nukleaj grupoj diras, ke nuklea energio povas esti reduktita de la kreado de energio kaj energiaj energioj.",Anti-nuclear groups say that reliance on nuclear energy can be reduced by adopting energy conservation and energy efficiency measures .,C1
La rapido por viro dum kelkaj jardekoj ĝis la plej proksima stelo estas miloj da fojoj pli granda ol tiuj de la nunaj veturiloj.,The velocity for a manned round trip of a few decades to even the nearest star is thousands of times greater than those of present space vehicles .,C1
ObjectClass,Gravitational lensing studies of the Bullet cluster are claimed to provide the best evidence to date for the existence of dark matter .,C1
Iu ajn kuracilo povas kaŭzi majistalon .,Any medication may cause anaphylaxis .,C1
"Kvankam malsimila en la ĝenerala aspekto, goferoj estis unuigitaj kun kanguruaj ratoj en komuna prafamo por konsiderinda tempo.","Although dissimilar in overall appearance , gophers have been united with kangaroo rats into a common superfamily for a considerable time .",C1
"Oni konas inĝenierarton por ilia rigida temperaturo, alta temperaturo, kaj stabileco sub kompensado kaj elektra streĉo.","Engineering ceramics are known for their stiffness , high temperature , and stability under compression and electrical stress .",C1
"La unua plurnacia elekto en kiu ĉiuj rasoj povus voĉdoni , okazis je la 27a de Aprilo 1994.","The first multiracial election in which all races could vote , was held on 27 April 1994 .",C1
La flago havas blankan lidon ruĝa dinagonan radian digone de la malsupra hista angulo.,The flag has a white - edged red diagonal band radiating diagonally from the lower hoist- side corner .,C1
"Kampara mararbaroj estas kutime ĉirkaŭitaj de la valofluoj sur pli bonaj grundoj, kaj de mamzonoj aŭ salo - akvogrejo proksime al la bordo .","Peat swamp forests are typically surrounded by lowland rain forests on better- drained soils , and by brackish or salt - water mangrove forests near the coast .",C1
Subsceso estas la dua plej ofta riskofaktoro por memmortigo post grava deprimo kaj dupolusa perturbo.,Substance misuse is the second most common risk factor for suicide after major depression and bipolar disorder .,C1
"La libro estis lia unua detalaj manifestacio pri la potenco de natura elekto , kaj klarigis, kiel kompleksaj rilatoj rezultigis la kompondejojn de orkideoj kaj insektoj.","The book was his first detailed demonstration of the power of natural selection , and explained how complex ecological relationships resulted in the coevolution of orchids and insects .",C1
"Post la dua mondmilito, eŭropa integriĝo estis vidata kiel kontraŭveneno al la ekstrema Konstitucio, kiu ruinigis la kontinenton.","After World War II , European integration was seen as an antidote to the extreme nationalism which had devastated the continent .",C1
"Kondimpita , iam konata kiel polikado, konsistas el tiaj materialoj kiel provizoraj kaj grandaj brutoj.","Conditional contraband , formerly known as occasional contraband , consists of such materials as provisions and livestock feed .",C1
Stadnyk mortis en la aĝo de 45 en la 24a de aŭgusto 2014 de cerbomorge .,Stadnyk died at the age of 45 on 24 August 2014 from a brain hemorrhage .,C1
Li mortis en 2001 de pulma materalismo.,He died in 2001 of a pulmonary embolism .,C1
"Metamieralaj mineraloj estas tiuj, kiuj formas nur je altaj temperaturoj kaj premoj de metamorfo.",Metamorphic minerals are those that form only at the high temperatures and pressures of metamorphism .,C1
Sistemaĵoj de linearaj ekvacioj formas fundamentan parton de la licio de algebro.,Systems of linear equations form a fundamental part of linear algebra .,C1
"De antaŭhesoj estas ekzemploj de tomboj kovritaj de ŝtonlablablo, en sia natura stato aŭ skulptita .","From prehistoric times there are examples of graves covered with a stone slab , in its natural state or carved .",C1
"La adrarroj de semusoj karakterizas per larĝaj, malprofundaj valoj kaj baras amasetojn de edro.","The Adrar des Ifoghas area is characterized by wide , shallow valleys and is strewn with piles of eroded granite blocks .",C1
"Fosilia akvofero povas esti ankaŭ artezia, se ili estas sufiĉe premataj de la ŝtonoj ĉirkaŭ la rokoj, simile al kiom multaj novempataj oleoj estas presataj.","Fossil water aquifers can also be artesian if they are under sufficient pressure from the surrounding rocks , similarly to how many newly tapped oil wells are pressurized .",C1
Flannetette ĝenerale referencas al knika kotona ŝtofo farita el la tekstura strukturo de flanneo.,Flannelette typically refers to a napped cotton fabric imitating the texture of flannel .,C1
Karuloj ofte fariĝas seriozaj predantoj.,Honey badgers often become serious poultry predators .,C1
"Glunokoridoj estas parto de la retroklustigo en la imuna sistemo, kiu reduktas kelkajn aspektojn de imuna funkcio , kiel inflamo .","Glucocorticoids are part of the feedback mechanism in the immune system which reduces certain aspects of immune function , such as inflammation .",C1
"Kristaloj estas kutimaj areoj de atomoj , kaj X - radioj povas esti konsiderataj ondoj de elektrokratismo.","Crystals are regular arrays of atoms , and X - rays can be considered waves of electromagnetic radiation .",C1
"Kristaloj estas regulaj areoj de atomoj , signifas, ke la atomoj ripetas kaj finiĝas en ĉiuj tri dimensioj.","Crystals are regular arrays of atoms , meaning that the atoms are repeat over and over in all three dimensions .",C1
"Antaŭ ol la alveno de fero odora fero, meteoropa fero estis la sola fonto de fero, escepte de malgrandaj kvantoj de rakontis feron.","Before the advent of iron smelting , meteoric iron was the only source of iron metal apart from minor amounts of telluric iron .",C1
"Ĝi estas la plej malgranda el la veraj ĉarenaj kaj konservas multajn primitivajn karakterizajn trajtojn, kiuj perdis pli grandan specion, havante pli malgrandan kaj malpli apartan kranion.","It is the smallest of the true hyenas and retains many primitive viverrid characteristics lost in larger species , having a smaller and less specialised skull .",C1
"Ĝi estas la plej malgranda el ĝiaj genesoj kaj havas multajn primitivajn karakterizajn karakterizajn trajtojn, kiuj estas perditaj en la pli vasta specio.",It is the smallest of its genus and has many primitive viverrid characteristics which are lost in the larger species .,C1
"Literkotekotsloroj ŝajnas de tiuj ruĝaj algoj, pli ol rekte de Kukaryoes kiel en plantoj.","Heterokont chloroplasts appear to derive from those of red algae , rather than directly from prokaryotes as occurred in plants .",C1
"La grusto estas ĉefe formita de kapfikaj rokoj , aŭ ema, kiu nomiĝas pro siaj sicilaj mineraloj.","Oceanic crust is primarily composed of mafic rocks , or sima which is named for its magnesium silicate minerals .",C1
Cinukono estas blanka solidaĵo.,Zinc oxide is a white solid .,C1
HXur estas bastono kaj pilko ludata de 15 teamoj sur rektangula herbo kun ĉiu fino.,Hurling is a stick and ball game played by teams of 15 on a rectangular grass pitch with H-shaped goals at each end .,C1
Gaela futbalo estas la plej populara el la antaŭaj ludoj kaj estas ludataj de 15 teamoj sur rektangula herbo kun kvaroformaj celoj ĉe ĉiu fino.,Gaelic football is the most popular of the gaelic games and is played by teams of 15 on a rectangular grass pitch with H-shaped goals at each end .,C1
"Antaŭ la aĝo de teoria kaj komputa kemio, malseka kemio estis la plej grava formo de scienca malkovro en la kemia kampo.","Before the age of theoretical and computational chemistry , wet chemistry was the predominant form of scientific discovery in the chemical field .",C1
Estas riskoj de infekto fare de salvelia bakterioj.,There are risks of infection by salmonella bacteria .,C1
"Estas esence risko de infekto fare de salmatoj, eventuale trovata en kruda ovo de rompita aŭ senpropiela lavado de ovoj.",There is inherent risk of infection by salmonella bacteria occasionally found in raw egg from cracked or improperly washed eggshells .,C1
"La invadoj donis al la organizantoj aron de kondiĉoj rilate al la tempo de la invado, dum nur kelkaj tagoj en ĉiu monato taŭgas.","The invasion planners specified a set of conditions regarding the timing of the invasion , deeming only a few days in each month suitable .",C1
"Kvankam tiu ŝarko estas stoleristo kaj ŝajnas sendanĝera, ĝi povas transformi dolorajn punturojn, se ili provokis sian fortan makzelon kaj akrajn dentojn.","Although this shark is a bottom-dweller and appears harmless , it can inflict painful lacerations if provoked , due to its powerful jaws and sharp teeth .",C1
"Pepsin estis unu el la unuaj enzimoj malkovrindaj , kaj estas popeptita en la naturo .","Pepsin was one of the first enzymes to be discovered , and is polypeptidic in nature .",C1
Chotrotrotros estas unu el multaj tipoj de orgosoj en la plantĉelo .,Chloroplasts are one of many types of organelles in the plant cell .,C1
Cianaj kombinaĵoj okazas en malgrandaj kvantoj en la natura medio kaj en cigaredo.,Cyanide compounds occur in small amounts in the natural environment and in cigarette smoke .,C1
"Ekstere sia denaska regiono, smeraldo kovrita de cindroj estas specio, kiu estas tre detruata al cindroj en ĝia regiono .","Outside its native range , emerald ash borer is an invasive species that is highly destructive to ash trees in its introduced range .",C1
